From,To
@capn_madd_katt,"@ccadelago,@DrPanMD,@Steinberg4Sac,@AngeliqueAshby,@OTCbike,@OTCbike,@AngeliqueAshby,@Steinberg4Sac,@DrPanMD,@DowntownSac,@SacramentoCVB,@DowntownAndVine,@cmaphysicians,@RobynAlyHope"
@capn_madd_katt,"@ccadelago,@DrPanMD,@Steinberg4Sac,@AngeliqueAshby,@OTCbike,@OTCbike,@AngeliqueAshby,@Steinberg4Sac,@DrPanMD,@DowntownSac,@SacramentoCVB,@DowntownAndVine,@cmaphysicians,@RobynAlyHope"
@meaghano9,"@ccadelago,@DrPanMD,@Steinberg4Sac,@AngeliqueAshby,@OTCbike,@OTCbike,@AngeliqueAshby,@Steinberg4Sac,@DrPanMD,@DowntownSac,@SacramentoCVB,@DowntownAndVine,@cmaphysicians,@RobynAlyHope"
@DynaMed_POC,@CDCFlu
@SANTINORICE,@CDCFlu
@GeminisRegio,@CDCFlu
@DotFranny,@CDCFlu
@mskimmyd85,@ceemonster
@IDerTorosianHC,@ceemonster
@andymarso,@Celia_LJ
@orangeblood307,"@centegrahealth,@cbschicago"
@networkwellness,"@centegrahealth,@cbschicago"
@adamparrshs,"@centegrahealth,@cbschicago"
@slothlovefezzik,@Cha_C_San
@JourneysNonnie,@Cha_C_San
@rynndeer,@Cha_C_San
@OrinLevine,@Cha_C_San
@ThatSiriusLad,@Cha_C_San
@chu_bacca,@Cha_C_San
@ChristinaLilySu,@Cha_C_San
@mindelannn,@Cha_C_San
@emmiewithacape,@Cha_C_San
@VoiceOfOBrien,@Cha_C_San
@dawterofliberty,@Charbrevolution
@EwEdmiston,"@CharityMiles,@ShotAtLife.,@CVSClassicGolf"
@LiberarSuMente,"@CharityMiles,@ShotAtLife.,@CVSClassicGolf"
@pearwaldorf,"@CharityMiles,@ShotAtLife.,@CVSClassicGolf"
@glowingnova,@CheeseyPokemon
@HealthFreedomUS,@CheeseyPokemon
@DrPanMD,"@chrissyfarr,@KQED"
@sabinvaccine,@ChristiAnne67
@98cowboys,@ChristiAnne67
@KittenKoder,@ChristiAnne67
@HopeLizzy,@CIDRZambia
@mgctouch,@CIDRZambia
@gijacklin,@CIDRZambia
@DrPanMD,@claireconlon
@OTCbike,"@claireconlon,@DrPanMD"
@DrPanMD,@cmaphysicians
@lfrancis0,@cmaphysicians
@BethIsAwake,@CMSRIResearch
@cmaphysicians,@CMSRIResearch
@yayayarndiva,"@ConsumersUnion,@DrPanMD,"
@BassBabyDoll,"@CplBart,@BassBabyDoll,@DrPanMD"
@jdelugach,"@CplBart,@BassBabyDoll,@DrPanMD"
@Kaba_Jifika,@CriticalRole
@GeminisRegio,@CriticalRole
@Kaba_Jifika,"@CriticalRole,@Marisha_Ray,@VoiceOfOBrien"
@FundedJustice,"@CriticalRole,@Marisha_Ray,@VoiceOfOBrien"
@TheRealRBlack,"@CriticalRole,@Undertale"
@PeterChristHall,@Crof
@DeeLoralei,"@CruzWhobris,@SenateGOP,@HouseGOP"
@dallasrbaird,"@CruzWhobris,@SenateGOP,@HouseGOP"
@cmaphysicians,"@CSKidsAction,@DrPanMD"
@DrPanMD,"@CSKidsAction,@DrPanMD"
@Chaox173,@damage_ko
@rynndeer,@damage_ko
@hippy_time_,@Damn_It_Dillon
@budugley,"@DanBidondi,@CDCgov,@CDCFlu"
@PedsGeekMD,"@danojano,@DrPanMD"
@TreyStokes,"@danojano,@DrPanMD"
@LeahinLA,"@danojano,@DrPanMD"
@ivorytowerstyle,@davidfickling
@ivorytowerstyle,@davidfickling
